Range,Site,TransYear,ID,lifestage,lifestageNext,size,sizeNext,fec.totfruit,fec.meanseed,fec.totseed,surv
Center,Bountiful,1516,5703,3,3,113.99,191.4408023,12,10.8,129.6,1
Center,Bountiful,1516,5721,3,3,69.1,189.1238777,0,,0,1
Center,Bountiful,1516,5746,3,,127.63,,0,,0,0
Center,Bountiful,1516,5765,3,3,126.7,145.2986602,0,,0,1
Center,Bountiful,1516,5813,3,,405.89,,15,6.8,102,0
Center,Bountiful,1516,5816,3,3,128.65,117.621229,3,14.33333,43,1
Center,Bountiful,1516,5871,3,3,76.92,182.5579491,20,7.6,152,1
Center,Bountiful,1516,5916,3,3,159.04,126.8967813,7,7.857143,55,1
Center,Bountiful,1516,5928,3,3,121.5,233.9858208,13,10.9,141.7,1
Center,Bountiful,1516,5934,3,3,107.99,169.6460033,19,11.63636,221.0909,1
Center,Bountiful,1516,5994,3,3,121.93,71.39269305,10,14.7,147,1
Center,Bountiful,1516,6003,3,3,66.76,67.38716242,10,12.2,122,1
Center,Bountiful,1516,6010,3,3,62.82,31.10176727,4,13,52,1
Center,Bountiful,1516,6031,3,3,41.34,85.27853258,3,13.66667,41,1
Center,Bountiful,1516,6032,3,3,69.2,53.56415474,16,6.7,107.2,1
Center,Bountiful,1516,6033,3,3,80.11,45.59236339,1,15,15,1
Center,Bountiful,1516,6062,3,,39.03,,0,,0,0
Center,Bountiful,1516,6073,3,3,73.4,71.39269305,16,13.1,209.6,1
Center,Bountiful,1516,6094,3,3,27.05,40.05530633,3,10.66667,32,1
Center,Bountiful,1516,6102,3,,,,,,,0
Center,Bountiful,1516,6110,3,3,91.61,182.6521969,0,,0,1
Center,Bountiful,1516,6111,2,,12.56,,,,,0
Center,Bountiful,1516,6126,3,,395.45,,0,,0,0
Center,Bountiful,1516,6177,3,,,,,,,0
Center,Bountiful,1516,6234,3,3,62.82,148.6051865,1,8,8,1
Center,Bountiful,1516,6332,3,3,71.63,256.8644693,16,15.4,246.4,1
Center,Bountiful,1516,6395,3,2,158.1,17.7028746,0,,0,1
Center,Bountiful,1516,6410,3,3,144.2,240.2454442,0,,0,1
Center,Bountiful,1516,6473,3,,109.68,,0,,0,0
Center,Bountiful,1516,6521,3,3,56.55,153.3018675,24,8.454545,202.9091,1
Center,Ogden,1314,7586,3,3,46.2,129.59,4,10,40,1
Center,Ogden,1314,7597,3,3,385.52,683.3,13,10.09090909,131.1818182,1
Center,Ogden,1314,7602,3,3,124.58,197.92,25,8.75,218.75,1
Center,Ogden,1314,7623,3,3,33.48,86.39,3,0,0,1
Center,Ogden,1314,7630,3,3,331.24,534.07,34,9.7,329.8,1
Center,Ogden,1314,7682,3,3,305.13,186.92,22,4.777777778,105.1111111,1
Center,Ogden,1314,7689,3,3,19.6,91.89,1,0,0,1
Center,Ogden,1314,7694,3,3,498.63,730.42,57,7,399,1
Center,Ogden,1314,7866,3,3,92.74,311.02,10,14.16666667,141.6666667,1
Center,Ogden,1314,8016,3,3,75.15,449.25,5,13.6,68,1
Center,Ogden,1314,8070,3,3,177.86,392.7,3,9,27,1
Center,Ogden,1314,8084,3,3,89.72,214.41,6,12.33333333,74,1
Center,Ogden,1314,8089,3,,150.42,,0,,0,0
Center,Ogden,1314,8108,3,3,377.37,584.34,8,10.71428571,85.71428571,1
Center,Ogden,1314,8147,3,3,83.75,345.58,4,8,32,1
Center,Ogden,1314,8177,3,,433.35,,42,16.3,684.6,0
Center,Ogden,1314,8341,3,3,73.4,253.68,2,19.5,39,1
Center,Ogden,1314,8409,3,3,112.15,660.52,2,0,0,1
Center,Ogden,1314,8420,3,3,84.88,84.82,3,9,27,1
Center,Ogden,1314,8424,3,,102.67,,2,5,10,0
Center,Ogden,1314,8442,3,,38.7,,3,7,21,0
Center,Ogden,1314,8469,3,3,83.41,155.51,3,10,30,1
Center,Ogden,1314,8517,3,3,88.12,240.33,0,,0,1
Center,Ogden,1314,8582,3,3,125.46,188.5,18,10.6,190.8,1
Center,Ogden,1314,8626,3,3,106.15,469.67,34,14,476,1
Center,Ogden,1314,8711,3,3,136.66,431.97,8,13.5,108,1
Center,Ogden,1314,8719,3,3,52.22,186.92,8,9.428571429,75.42857143,1
Center,Ogden,1314,8725,3,3,190.5,824.67,12,3.222222222,38.66666667,1
Center,Ogden,1314,8726,3,3,190.88,681.73,61,10.2,622.2,1
Center,Ogden,1314,8728,3,3,119.53,273.32,6,15.33333333,92,1
Center,Ogden,1314,8741,3,3,158.3,412.33,20,8.7,174,1
Center,Ogden,1314,8743,3,3,222.66,614.97,34,12,408,1
Center,Ogden,1314,8744,3,3,87.38,333.79,3,4,12,1
Center,Ogden,1314,8745,3,3,169.69,306.31,2,3,6,1
Center,Ogden,1314,8757,3,3,104.71,362.85,14,4.3,60.2,1
Center,Ogden,1314,8765,3,3,94.56,155.51,8,10.25,82,1
Center,Ogden,1415,7586,3,,129.59,,0,,0,0
Center,Ogden,1415,7597,3,,683.3,,8,2.75,22,0
Center,Ogden,1415,7602,3,,197.92,,14,10.27272727,143.8181818,0
Center,Ogden,1415,7613,3,,819.96,174.17,26,9.2,239.2,1
Center,Ogden,1415,7623,3,,86.39,33.6,3,7,21,1
Center,Ogden,1415,7630,3,,534.07,78.99,46,5.9,271.4,1
Center,Ogden,1415,7636,3,,483.81,,15,6.2,93,0
Center,Ogden,1415,7677,3,,,,0,,0,0
Center,Ogden,1415,7682,3,,186.92,,1,0,0,0
Center,Ogden,1415,7689,3,,91.89,,5,9,45,0
Center,Ogden,1415,7694,3,,730.42,,1,10,10,0
Center,Ogden,1415,7695,3,,163.36,,8,11.125,89,0
Center,Ogden,1415,7697,3,,455.53,63.35,8,5.625,45,1
Center,Ogden,1415,7711,3,,904.78,,24,0.9,21.6,1
Center,Ogden,1415,7732,3,,571.77,,38,8.4,319.2,0
Center,Ogden,1415,7804,3,,282.74,146.02,20,5.8,116,1
Center,Ogden,1415,7839,3,,706.07,,57,10.6,604.2,0
Center,Ogden,1415,7844,3,,241.9,12.83,26,15.6,405.6,1
Center,Ogden,1415,7866,3,3,311.02,182.46,25,13.1,327.5,1
Center,Ogden,1415,7882,3,,129.59,371.03,7,13.42857143,94,1
Center,Ogden,1415,7896,3,,54.98,,9,10,90,0
Center,Ogden,1415,7967,3,,270.96,,13,14.2,184.6,0
Center,Ogden,1415,7976,3,,414.69,,22,11.6,255.2,0
Center,Ogden,1415,7995,3,3,51.84,,8,5.375,43,1
Center,Ogden,1415,7996,3,,212.06,,30,9.4,282,0
Center,Ogden,1415,8016,3,3,449.25,492.44,54,7.8,421.2,1
Center,Ogden,1415,8029,3,,747.7,174.36,2,8,16,1
Center,Ogden,1415,8039,3,,200.28,,2,4,8,0
Center,Ogden,1415,8040,3,,223.84,,9,15,135,0
Center,Ogden,1415,8057,3,,871.79,,35,9.4,329,0
Center,Ogden,1415,8059,3,,589.05,,21,7.7,161.7,0
Center,Ogden,1415,8070,3,,392.7,,5,1.8,9,0
Center,Ogden,1415,8084,3,,214.41,,7,9.833333333,68.83333333,0
Center,Ogden,1415,8108,3,,584.34,,34,9.4,319.6,
Center,Ogden,1415,8141,3,,230.91,,20,6.1,122,0
Center,Ogden,1415,8143,3,,219.91,335.75,16,9.6,153.6,1
Center,Ogden,1415,8147,3,3,345.58,586.18,50,9.3,465,1
Center,Ogden,1415,8153,3,,169.65,,26,12.6,4127.76,0
Center,Ogden,1415,8154,3,,339.29,,45,15.2,10396.8,0
Center,Ogden,1415,8166,3,,490.09,,82,7.5,615,0
Center,Ogden,1415,8181,3,,397.41,,6,7,42,0
Center,Ogden,1415,8285,3,,183.78,466.53,25,14.27272727,356.8181818,1
Center,Ogden,1415,8341,3,,253.68,,23,10,230,
Center,Ogden,1415,8402,3,,,,11,10.3,113.3,1
Center,Ogden,1415,8409,3,,660.52,,58,11.2,649.6,
Center,Ogden,1415,8420,3,,84.82,,2,1.5,3,
Center,Ogden,1415,8468,3,,1094.85,,55,10.5,577.5,
Center,Ogden,1415,8469,3,,155.51,,6,11.5,69,
Center,Ogden,1415,8495,3,,353.43,,11,8.3,91.3,
Center,Ogden,1415,8517,3,,240.33,,13,11.9,154.7,
Center,Ogden,1415,8538,3,,77.75,,0,,0,
Center,Ogden,1415,8582,3,,188.5,,13,10.6,137.8,
Center,Ogden,1415,8626,3,,469.67,,14,8.6,120.4,
Center,Ogden,1415,8653,3,,129.59,,17,11.7,198.9,
Center,Ogden,1415,8663,3,,852.16,,133,9.3,1236.9,
Center,Ogden,1415,8670,3,,125.66,,6,6.333333333,38,
Center,Ogden,1415,8711,3,,431.97,,43,12.90909091,555.0909091,
Center,Ogden,1415,8712,3,,219.91,,7,2.714285714,19,
Center,Ogden,1415,8715,3,,127.23,,24,11,264,
Center,Ogden,1415,8719,3,,186.92,,36,2.9,104.4,
Center,Ogden,1415,8724,3,,282.74,,77,8.818181818,679,
Center,Ogden,1415,8725,3,,824.67,696.37,112,5.909090909,661.8181818,1
Center,Ogden,1415,8726,3,,681.73,,165,12.5,2062.5,
Center,Ogden,1415,8728,3,,273.32,,15,9.6,144,
Center,Ogden,1415,8729,3,,726.49,,46,12.6,579.6,
Center,Ogden,1415,8737,3,,505.8,,56,9.818181818,549.8181818,
Center,Ogden,1415,8739,3,,150.8,,13,13.7,178.1,
Center,Ogden,1415,8741,3,,412.33,,33,9.222222222,304.3333333,
Center,Ogden,1415,8743,3,,614.97,,36,8.3,298.8,
Center,Ogden,1415,8744,3,,333.79,,28,13.45454545,376.7272727,
Center,Ogden,1415,8745,3,,306.31,,3,16.33333333,49,
Center,Ogden,1415,8751,3,,213.63,,16,16.9,270.4,
Center,Ogden,1415,8757,3,,362.85,,70,5,350,
Center,Ogden,1415,8765,3,,155.51,,10,7,70,
Center,Ogden,1415,8772,3,,223.84,,8,5.875,47,
Center,Providence,1314,4427,3,2,290.28,103.67,0,,0,1
Center,Providence,1314,4442,3,,59.28,,0,,0,0
Center,Providence,1314,4451,3,2,,25.13,0,,0,1
Center,Providence,1314,4457,3,,158.06,,1,4,4,0
Center,Providence,1314,4493,3,,149.01,,2,10.5,21,0
Center,Providence,1314,4496,3,3,95.91,39.27,0,,0,1
Center,Providence,1314,4545,3,3,171.74,62.83,4,14,56,1
Center,Providence,1314,4547,3,3,59.41,69.12,0,,0,1
Center,Providence,1314,4680,3,3,51.27,77.75,6,11.66666667,70,1
Center,Providence,1314,4752,3,,23.98,,3,10.33333333,31,0
Center,Providence,1314,4760,3,,227.77,,0,,0,0
Center,Providence,1314,4785,3,2,286.28,98.96,0,,0,1
Center,Providence,1314,4814,3,,122.92,,4,4.25,17,0
Center,Providence,1314,4983,3,,195.34,,12,11.4,136.8,0
Center,Providence,1314,4989,3,3,109.48,213.63,3,7,21,1
Center,Providence,1314,5009,3,,149.01,,4,11,44,0
Center,Providence,1314,5013,3,3,118.16,94.25,8,9.375,75,1
Center,Providence,1314,5018,3,3,105.78,37.7,1,17,17,1
Center,Providence,1314,5021,3,3,122.85,71.47,0,,0,1
Center,Providence,1314,5042,3,3,214.88,175.93,0,,0,1
Center,Providence,1314,5162,3,3,,91.89,3,9,27,1
Center,Providence,1314,5166,3,3,,169.65,5,6.4,32,1
Center,Providence,1314,5230,3,3,,253.68,2,0,0,1
Center,Providence,1314,5258,3,3,209.54,60.08,0,,0,1
Center,Providence,1314,5282,3,3,,138.23,2,4,8,1
Center,Providence,1314,5288,3,,186.25,,0,,0,0
Center,Providence,1314,5410,3,3,,27.49,1,10,10,1
Center,Providence,1314,5424,3,3,,81.68,2,10.5,21,1
Center,Providence,1314,5436,3,,219.4,,0,,0,0
Center,Providence,1314,5496,3,3,,87.96,0,,0,1
Center,Providence,1415,160,3,3,56.55,113.03,2,11,22,1
Center,Providence,1415,179,3,3,155.51,115.57,3,7.666666667,23,1
Center,Providence,1415,184,3,3,122.52,57.59,10,7.555555556,75.55555556,1
Center,Providence,1415,185,3,3,141.37,118.12,10,8.5,85,1
Center,Providence,1415,198,3,,76.97,,7,9.428571429,66,0
Center,Providence,1415,199,3,3,43.98,89.06,8,7,56,1
Center,Providence,1415,228,3,3,39.27,107.51,3,9,27,1
Center,Providence,1415,244,3,3,86.39,97.39,3,9.666666667,29,1
Center,Providence,1415,245,3,3,51.84,43.1,3,0.333333333,1,1
Center,Providence,1415,256,3,2,112.31,47.01,4,9.5,38,1
Center,Providence,1415,281,3,2,47.12,57.18,0,,0,1
Center,Providence,1415,284,3,3,171.61,124.41,0,,0,1
Center,Providence,1415,298,3,3,51.05,98.14,0,,0,1
Center,Providence,1415,299,3,3,52.23,98.14,0,,0,1
Center,Providence,1415,300,3,3,148.05,98.54,0,,0,1
Center,Providence,1415,305,3,,74.61,,1,16,16,0
Center,Providence,1415,307,3,3,86.39,64.4,0,,0,1
Center,Providence,1415,310,3,3,326.73,369.33,4,11.5,46,1
Center,Providence,1415,311,3,3,82.47,91.03,0,,0,1
Center,Providence,1415,314,3,2,163.36,103.08,0,,0,1
Center,Providence,1415,4496,3,3,39.27,175.93,1,6,6,1
Center,Providence,1415,4545,3,3,62.83,300.34,10,11.9,119,1
Center,Providence,1415,4547,3,3,69.12,77.6,7,10.33333333,72.33333333,1
Center,Providence,1415,4680,3,,77.75,,10,10.6,106,0
Center,Providence,1415,4989,3,3,213.63,94.24,16,13,208,1
Center,Providence,1415,5013,3,3,94.25,157.98,2,13,26,1
Center,Providence,1415,5018,3,,37.7,,0,,0,0
Center,Providence,1415,5021,3,3,71.47,300.41,0,,0,1
Center,Providence,1415,5042,3,3,175.93,132.54,1,1,1,1
Center,Providence,1415,5166,3,3,169.65,79.17,8,6,48,1
Center,Providence,1415,5230,3,,253.68,,16,10.3,164.8,0
Center,Providence,1415,5258,3,3,60.08,186.68,2,0.5,1,1
Center,Providence,1415,5282,3,3,138.23,175.3,5,5.6,28,1
Center,Providence,1415,5410,3,3,27.49,38.01,0,,0,1
Center,Providence,1415,5424,3,3,81.68,136.35,0,,0,1
Center,Providence,1516,160,3,,113.03,,8,4.125,33,0
Center,Providence,1516,179,3,,115.57,,3,5.333333,15.999999,
Center,Providence,1516,184,3,2,57.59,21.2528743,4,3.75,15,1
Center,Providence,1516,185,3,3,118.12,63.24026012,6,6.833333,40.999998,1
Center,Providence,1516,199,3,3,89.06,131.8369357,2,8.5,17,1
Center,Providence,1516,228,3,3,107.51,116.8672467,1,0,0,1
Center,Providence,1516,244,3,3,97.39,376.6141273,8,10.625,85,1
Center,Providence,1516,245,3,3,43.1,122.5221135,0,,0,1
Center,Providence,1516,284,3,,124.41,,0,,0,0
Center,Providence,1516,298,3,3,98.14,81.05309046,0,,0,1
Center,Providence,1516,299,3,3,98.14,137.287599,0,,0,1
Center,Providence,1516,300,3,2,98.54,5.340707511,0,,0,1
Center,Providence,1516,307,3,,64.4,,3,10,30,0
Center,Providence,1516,310,3,3,369.33,279.9159054,4,10.75,43,1
Center,Providence,1516,311,3,3,91.03,225.4878127,0,,0,1
Center,Providence,1516,3168,3,3,273.98,290.777962,3,3.666667,11.000001,1
Center,Providence,1516,3187,3,2,148.13,10.36725576,7,7.285714,50.999998,1
Center,Providence,1516,4427,3,3,136.5,296.786258,0,,0,1
