Range,Site,TransYear,latitude,suitability
Center,Bountiful,1516,40.90254,0.56
Center,Providence,1516,41.69027,0.229
Center,Uinta,1516,41.09098,0.51
Edge,Nordic Center,1516,42.72291,0.322
Edge,Reservoir,1516,43.28505,0.417
Edge,Swan,1516,43.20944,0.225
Edge,Wolverine,1516,43.25886,0.424
